2025-10-18 05:52:31 http://58.19.133.216:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:33 http://101.66.195.101:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:37 http://112.99.193.34:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:40 http://183.131.246.250:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:48 http://101.66.199.152:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:49 http://101.66.199.67:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:14 http://113.195.162.70:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:43 可用频道：20 个 , 不可用频道：124 个 , 总频道：333 个 , 总进度：43.24%
2025-10-18 05:53:44 可用频道：20 个 , 不可用频道：125 个 , 总频道：333 个 , 总进度：43.54%
2025-10-18 05:53:44 可用频道：20 个 , 不可用频道：126 个 , 总频道：333 个 , 总进度：43.84%
2025-10-18 05:53:44 可用频道：20 个 , 不可用频道：127 个 , 总频道：333 个 , 总进度：44.14%
2025-10-18 05:53:44 可用频道：20 个 , 不可用频道：128 个 , 总频道：333 个 , 总进度：44.44%
2025-10-18 05:53:44 可用频道：20 个 , 不可用频道：129 个 , 总频道：333 个 , 总进度：44.74%
2025-10-18 05:53:46 可用频道：20 个 , 不可用频道：130 个 , 总频道：333 个 , 总进度：45.05%
2025-10-18 05:53:46 可用频道：20 个 , 不可用频道：131 个 , 总频道：333 个 , 总进度：45.35%
2025-10-18 05:53:57 可用频道：20 个 , 不可用频道：132 个 , 总频道：333 个 , 总进度：45.65%
2025-10-18 05:54:00 可用频道：20 个 , 不可用频道：133 个 , 总频道：333 个 , 总进度：45.95%
2025-10-18 05:54:12 可用频道：20 个 , 不可用频道：134 个 , 总频道：333 个 , 总进度：46.25%
2025-10-18 05:54:12 可用频道：20 个 , 不可用频道：135 个 , 总频道：333 个 , 总进度：46.55%
2025-10-18 05:54:17 可用频道：21 个 , 不可用频道：135 个 , 总频道：333 个 , 总进度：46.85% - CCTV4: 0.0001 MB/s
2025-10-18 05:54:17 可用频道：22 个 , 不可用频道：135 个 , 总频道：333 个 , 总进度：47.15% - CCTV3: 0.0001 MB/s
